wwwsild1 24717     1  0 01:09 ?        00:01:24 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-2/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM/tra/DomainA1_D1/application/SendData2IntegrationPoint/SendData2IntegrationPoint-SendDataIntegrationPoint.tra --innerProcess
wwwsild1 24724     1  0 01:09 ?        00:02:19 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-2/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM/tra/DomainA1_D1/application/ISS_COMMON_ErrorHandler_Service-ErrorHandler-1/ISS_COMMON_ErrorHandler_Service-ErrorHandler-1-TibcoErrorHandler.tra --innerProcess
wwwsild1 24727     1  0 01:09 ?        00:02:02 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-2/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM/tra/DomainA1_D1/application/ISS_COMMON_ErrorHandler_Service-ErrorHandler-1/ISS_COMMON_ErrorHandler_Service-ErrorHandler-1-TibcoErrorHandler-1.tra --innerProcess
wwwsild1 24764     1  0 01:09 ?        00:02:06 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/N1-A-3/N1-A-3-Process_Archive.tra --innerProcess
wwwsild1 24772     1  0 01:09 ?        00:01:32 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-12/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM1/tra/DomainA1_D1/application/ISS_COMMON_RoutingService-1/ISS_COMMON_RoutingService-1-RoutingService.tra --innerProcess
wwwsild1 24776     1  0 01:09 ?        00:01:30 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-18/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM4/tra/DomainA1_D1/application/ISS_COMMON_RoutingService/ISS_COMMON_RoutingService-RoutingService.tra --innerProcess
wwwsild1 24777     1  0 01:09 ?        00:01:16 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-2/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM/tra/DomainA1_D1/application/ISS_COMMON_Logging_Service/ISS_COMMON_Logging_Service-LogDataImpl.tra --innerProcess
wwwsild1 24867     1  0 01:09 ?        00:02:06 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/N1-A-2/N1-A-2-Process_Archive.tra --innerProcess
wwwsild1 24880     1  0 01:09 ?        00:02:23 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/N1-A-4/N1-A-4-Process_Archive.tra --innerProcess
wwwsild1 24937     1  0 01:09 ?        00:02:06 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/N1-A-11/N1-A-11-Process_Archive.tra --innerProcess
